,Links,text 
0,https://www.facebook.com/photo/?fbid=3646703205441584&set=a.730857030359564,"its awesome, looking good "
1,https://www.facebook.com/photo.php?fbid=3646703205441584&set=pb.100003058220430.-2207520000..&type=3,you look like hero
2,https://www.facebook.com/photo.php?fbid=3645307285581176&set=pb.100003058220430.-2207520000..&type=3,super ram
3,https://www.facebook.com/photo.php?fbid=3330814027030505&set=pb.100003058220430.-2207520000..&type=3,Hi how are you
4,https://www.facebook.com/photo.php?fbid=3221731437938765&set=pb.100003058220430.-2207520000..&type=3,"where are you?, how was your family?"
5,https://www.facebook.com/photo.php?fbid=3216131868498722&set=pb.100003058220430.-2207520000..&type=3,Are you in india
6,https://www.facebook.com/photo.php?fbid=3077251942386716&set=pb.100003058220430.-2207520000..&type=3,amazing pic 
7,https://www.facebook.com/photo.php?fbid=3047083218736922&set=pb.100003058220430.-2207520000..&type=3,how was your nephew?
8,https://www.facebook.com/photo.php?fbid=3046881388757105&set=pb.100003058220430.-2207520000..&type=3,you look great
9,https://www.facebook.com/photo.php?fbid=3046733832105194&set=pb.100003058220430.-2207520000..&type=3,tell me when you will be in india
10,https://www.facebook.com/photo.php?fbid=2998530826925495&set=pb.100003058220430.-2207520000..&type=3,____ __________ _______?
11,https://www.facebook.com/photo.php?fbid=2995044440607467&set=pb.100003058220430.-2207520000..&type=3,how was your mom?
12,https://www.facebook.com/photo.php?fbid=2937631353015443&set=pb.100003058220430.-2207520000..&type=3,astronishing opposite to paris
13,https://www.facebook.com/photo.php?fbid=2881910611920851&set=pb.100003058220430.-2207520000..&type=3,looking beautiful
14,https://www.facebook.com/photo.php?fbid=2821786974599882&set=pb.100003058220430.-2207520000..&type=3,how are you ram?
15,https://www.facebook.com/photo.php?fbid=2794933690618544&set=pb.100003058220430.-2207520000..&type=3,you look amazing
16,https://www.facebook.com/photo.php?fbid=2705973862847861&set=pb.100003058220430.-2207520000..&type=3,you are quite looking fine
17,https://www.facebook.com/photo.php?fbid=2696593223785925&set=pb.100003058220430.-2207520000..&type=3,its been so years we met
18,https://www.facebook.com/photo.php?fbid=2665255106919737&set=pb.100003058220430.-2207520000..&type=3,i have to meet you
19,https://www.facebook.com/photo.php?fbid=2642681172510464&set=pb.100003058220430.-2207520000..&type=3,when you will be in india
20,https://www.facebook.com/photo.php?fbid=2605837076194874&set=pb.100003058220430.-2207520000..&type=3,are you located to France
21,https://www.facebook.com/photo.php?fbid=2305775456201039&set=pb.100003058220430.-2207520000..&type=3,once call me ram it was long ago we spoken
22,https://www.facebook.com/photo.php?fbid=2186214391490480&set=pb.100003058220430.-2207520000..&type=3,looking stunning…..hero
23,https://www.facebook.com/photo.php?fbid=2182823598496226&set=pb.100003058220430.-2207520000..&type=3,how are you enjoying in France?
24,https://www.facebook.com/photo.php?fbid=1947209732057615&set=pb.100003058220430.-2207520000..&type=3,your eyes are so straight looking
25,https://www.facebook.com/photo.php?fbid=1880819032030019&set=pb.100003058220430.-2207520000..&type=3,how are you doing?
26,https://www.facebook.com/photo.php?fbid=1755127337932523&set=pb.100003058220430.-2207520000..&type=3,how was your parents?
27,https://www.facebook.com/photo.php?fbid=1729203753858215&set=pb.100003058220430.-2207520000..&type=3,when will be your visit to india?
28,https://www.facebook.com/photo.php?fbid=1717539401691317&set=pb.100003058220430.-2207520000..&type=3,i am coming to paris.once call me ram?
29,https://www.facebook.com/photo.php?fbid=1707002342745023&set=pb.100003058220430.-2207520000..&type=3,how was your day?
30,https://www.facebook.com/photo.php?fbid=1681774638601127&set=pb.100003058220430.-2207520000..&type=3,if you are free call me?
31,https://www.facebook.com/photo.php?fbid=1677309172381007&set=pb.100003058220430.-2207520000..&type=3,may be we have to meet?
32,https://www.facebook.com/photo.php?fbid=1660726417372616&set=pb.100003058220430.-2207520000..&type=3,stunning
33,https://www.facebook.com/photo.php?fbid=1609589889152936&set=pb.100003058220430.-2207520000..&type=3,looking handsome
34,https://www.facebook.com/photo.php?fbid=1455706874541239&set=pb.100003058220430.-2207520000..&type=3,do you have contact number? 
35,https://www.facebook.com/photo.php?fbid=1447248382053755&set=pb.100003058220430.-2207520000..&type=3,when will be your visit to india?
36,https://www.facebook.com/photo.php?fbid=1447235622055031&set=pb.100003058220430.-2207520000..&type=3,how are you ram?
37,https://www.facebook.com/photo.php?fbid=1436707476441179&set=pb.100003058220430.-2207520000..&type=3,looking beautiful
38,https://www.facebook.com/photo.php?fbid=1388811454564115&set=pb.100003058220430.-2207520000..&type=3,looking stunning…..hero
39,https://www.facebook.com/photo.php?fbid=1376193999159194&set=pb.100003058220430.-2207520000..&type=3,when will be your visit to india?
40,https://www.facebook.com/photo.php?fbid=1372724956172765&set=pb.100003058220430.-2207520000..&type=3,how are you enjoying in France?
41,https://www.facebook.com/photo.php?fbid=1372724886172772&set=pb.100003058220430.-2207520000..&type=3,how was your nephew?
42,https://www.facebook.com/photo.php?fbid=1371069943004933&set=pb.100003058220430.-2207520000..&type=3,when you will be in india
43,https://www.facebook.com/photo.php?fbid=1368472553264672&set=pb.100003058220430.-2207520000..&type=3,"where are you?, how was your family?"
44,https://www.facebook.com/photo.php?fbid=1368471693264758&set=pb.100003058220430.-2207520000..&type=3,looking handsome
45,https://www.facebook.com/photo.php?fbid=1368471413264786&set=pb.100003058220430.-2207520000..&type=3,more beautiful
46,https://www.facebook.com/photo.php?fbid=1368471383264789&set=pb.100003058220430.-2207520000..&type=3,how was your parents?
47,https://www.facebook.com/photo.php?fbid=1368471189931475&set=pb.100003058220430.-2207520000..&type=3,when you will be in india
48,https://www.facebook.com/photo.php?fbid=1368471156598145&set=pb.100003058220430.-2207520000..&type=3,how was your mom?
49,https://www.facebook.com/photo.php?fbid=1368471106598150&set=pb.100003058220430.-2207520000..&type=3,looking handsome
50,https://www.facebook.com/photo.php?fbid=1368471073264820&set=pb.100003058220430.-2207520000..&type=3,amazing pic 
51,https://www.facebook.com/photo.php?fbid=1360162970762297&set=pb.100003058220430.-2207520000..&type=3,Are you in india
52,https://www.facebook.com/photo.php?fbid=1357476381030956&set=pb.100003058220430.-2207520000..&type=3,are you located to France
53,https://www.facebook.com/photo.php?fbid=1351359084976019&set=pb.100003058220430.-2207520000..&type=3,"where are you?, how was your family?"
54,https://www.facebook.com/photo.php?fbid=1340455322733062&set=pb.100003058220430.-2207520000..&type=3,when will be your visit to india?
55,https://www.facebook.com/photo.php?fbid=1334203930024868&set=pb.100003058220430.-2207520000..&type=3,looking handsome
56,https://www.facebook.com/photo.php?fbid=1330691753709419&set=pb.100003058220430.-2207520000..&type=3,
